name,description,price,thumb,images,slug,sku,sizes,prices
North Bird Kilim Rug,,1181,https://bucket.zammit.shop/active-storage/fh1gkrvy66x943im4m1z85pe5se6,https://bucket.zammit.shop/active-storage/if4mtsi6iqaqgvdhsin8t2px7iye,North-Bird-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1181|1687|3375|4972|5625|6750|13500
Notebook Cushion,,0,https://bucket.zammit.shop/active-storage/a4m0fxjg1q1fubw8vgx46vfpb1l3,,Notebook-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,0|0|0|0|0|0
Notebook In Cafe Cushion,,0,https://bucket.zammit.shop/active-storage/8ljcoe8hqk8qq1k2lmdhrl45n6u3,,Notebook-In-Cafe-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,0|0|0|0|0|0
Notebook Kilim Rug,,769,https://bucket.zammit.shop/active-storage/jswexziaabej477gs77u5s1b3gh7,https://bucket.zammit.shop/active-storage/pl0vsfz5pc3wfpcwpfqfexxt3s7l,Notebook-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,769|1260|1800|3600|5304|6000|7200|14400
Nub Gold Bath Mat,,699,https://bucket.zammit.shop/active-storage/f1cm9mtsqqor5vpnidda06pz9pz9,https://bucket.zammit.shop/active-storage/aeu22j0rftahbvjbj410dxi76lyo,Nub-Gold-Bath-Mat,,60 * 90 Cm|50 * 140 Cm|80 * 100 Cm|100 * 130 Cm,699|892|1020|1657
Nub Navy Bath Mat,,932,https://bucket.zammit.shop/active-storage/25upcdsgzo2sjyo2g3z7867fxdvr,https://bucket.zammit.shop/active-storage/00xx7yh022r0px3pb9nc45raxaf7,Nub-Navy-Bath-Mat,,60 * 90 Cm|50 * 140 Cm|80 * 100 Cm|100 * 130 Cm,932|1190|1360|2210
Off White Barez Kilim Rug,,1687,https://bucket.zammit.shop/active-storage/wiivl5piwd3kzb182qez4rru6ap5,,Off-White-Barez-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1687|3375|4972|5625|6750|13500
Ondas Doradas Cushion,,0,https://bucket.zammit.shop/active-storage/9qttabbdjlaf08y8whumed79ijpg,https://bucket.zammit.shop/active-storage/4zojv51s8wa0oou5dcjyluyj6nk3|https://bucket.zammit.shop/active-storage/iwbwak7qsic59why32xldkdv776m,Ondas-Doradas-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,0|0|0|0|0|0
Orange Coco Cushion,,675,https://bucket.zammit.shop/active-storage/qngqn9rrftttaw1vyul0eumzf7tb,https://bucket.zammit.shop/active-storage/k8vj7frjpj1l9nmxikpchp3haq8f|https://bucket.zammit.shop/active-storage/b8gl3y6hwf8x7xz9dhyh381zo9k1,Orange-Coco-Cushion-,,40 * 40 Cm Cover Only|40 * 40 Cm with insert|40 * 70 Cm Cover Only|40 * 70 Cm with insert|70 * 70 Cm Cover Only|70 * 70 Cm with insert,675|712|750|787|1012|1050
Ovo Cushion,,0,https://bucket.zammit.shop/active-storage/sn1bqerekgcvj43db16y35ebycqn,https://bucket.zammit.shop/active-storage/qgc66po7btgm8x4v6oigjl3us98h,Ovo-Cushion,,30 * 30 Cm Cover Only|30 * 30 Cm With Insert|40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,0|0|0|0|0|0|0|0
Persian Qajar Woman Carpet,,20250,https://bucket.zammit.shop/active-storage/mizqz3vvmqsglt4tsrgcikdnsuua,https://bucket.zammit.shop/active-storage/zlru2km2b6v6ha5kjsewcn2xuzbq|https://bucket.zammit.shop/active-storage/ef8ypicxqtt957bv94hjfdkpb2bi,Persian-Qajar-Woman-Carpet,,One Size,20250
Plateau Cushion,,675,https://bucket.zammit.shop/active-storage/8ucsw8bp23q2odmmm1zplgshfaeb,https://bucket.zammit.shop/active-storage/xsq6x8f9fspg56bpndcth2aaco5i|https://bucket.zammit.shop/active-storage/1qskx7rpnsief3tvveb2ohrxxalx,Plateau-Cushion-,,40 * 40 Cm Cover Only|40 * 40 Cm with Insert|40 * 70 Cm Cover Only|40 * 70 Cm with Insert|70 * 70 Cm Cover Only|70 * 70 Cm with Insert,675|712|750|787|1012|1050
Plateau Kilim Rug,,687,https://bucket.zammit.shop/active-storage/5xl3m8qk8b1r0ja1mpx5zk8n1zsg,,Plateau-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,687|1338|1912|3825|5635|6375|7650|15300
Queen Of Swords Kilim Rug,,1687,https://bucket.zammit.shop/active-storage/ec5gh5bzmkil6348qwg98p734is6,https://bucket.zammit.shop/active-storage/qosd3n4zbr413qyg96ophzhvhdsv|https://bucket.zammit.shop/active-storage/o6pdrr4kkuj3tjkbnr6580iq5fnn|https://bucket.zammit.shop/active-storage/fki5dd2920bs8xjaoac9uhtbbyvz,Queen-Of-Swords-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1687|3375|4972|5625|6750|13500
Red House Cushion,,675,https://bucket.zammit.shop/active-storage/gvwfyjc6rdzbsm6vhtbjwbevaa6e,https://bucket.zammit.shop/active-storage/a1yk2prem9fci0njvobitx59wk7v,Red-House-Cushion-,,40 * 40 Cm Cover Only|40 * 40 Cm With insert|40 * 70 Cm Cover Only|40 * 70 Cm With insert|70 * 70 Cm Cover Only|70 * 70 Cm With insert,675|712|750|787|1012|1050
Red House Kilim Rug,,648,https://bucket.zammit.shop/active-storage/eko48azisrd665qy8py0vyd2xpad,,Red-House-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1575|3150|4641|5250|6300|12600
Rustic Woven Shag Kilim Rug,,0,https://bucket.zammit.shop/active-storage/p1lv8dm6of3rjkzfm2lgjigb0q7e,https://bucket.zammit.shop/active-storage/mr7w8uewdel7rqvhs1dsfdlkutw9,Rustic-Woven-Shag-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0|0
Sahara Cushion,,675,https://bucket.zammit.shop/active-storage/xx337m5f09rvp1j80q0h8btjk7xz,https://bucket.zammit.shop/active-storage/w2gb6zulkjo3en0ogb2y0e07joeb,Sahara-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,675|712|750|787|1012|1050
Savonnerie Kilim Rug,,0,https://bucket.zammit.shop/active-storage/a4kiv34hjv9xzkk288n9f3dmtm1l,https://bucket.zammit.shop/active-storage/u5mnreaphgwbk27m6wwbrflkip89|https://bucket.zammit.shop/active-storage/c8klf43gkqijml3d47nhgwr3vv06,Savonnerie-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Scarab Studio Kilim Rug,,0,https://bucket.zammit.shop/active-storage/pc4uc97tsq06o6q9zy9glbi6p5os,https://bucket.zammit.shop/active-storage/yoqp613sfwj73qrdq6xqa93x5m43|https://bucket.zammit.shop/active-storage/gm4if9an0j64hs1shdgk1my77c08,Scarab-Studio-Kilim-Rug,,0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,0|0|0|0|0|0|0
Secret Of The Desert Kilim Rug,,1181,https://bucket.zammit.shop/active-storage/rlasqvdzf9a90mj4kjz4lrkwilhp,https://bucket.zammit.shop/active-storage/f379w0vw4ufmu1qi613uyqrggab8,Secret-Of-The-Desert-Kilim-Rug-,,0.7 * 1.5 Cm|1 * 1.5 M|1.2 * 1.8 CM|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,1181|1687|2430|3375|4972|5625|6750|13500
Senon Kilim Rug,,1440,https://bucket.zammit.shop/active-storage/50comluh9ngw8eyd355c1bqga08l,,Senon-Kilim-Rug,,80 * 200 Cm|80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm,1440|2340|3120|3900|4680
Senon Kilim Rug 2,,688,https://bucket.zammit.shop/active-storage/jqu9ik1kadq84fxrruhpnjikijpl,https://bucket.zammit.shop/active-storage/ejs028cwivpsopbodd9gf6a2vk34,Senon-Kilim-Rug-2,,90 * 60 Cm Orange|90 * 60 Cm aegean|0.7 * 1.5 Cm Orange|0.7 * 1.5 Cm aegean|1 * 1.5 M Orange|1 * 1.5 M aegean|1.5 * 2 M Orange|1.5 * 2 M aegean|1.7 * 2.6 M Orange|1.7 * 2.6 M aegean,688|688|1102|1102|1575|1575|2925|2925|4309|4309
Shaggy Biege Kilim Hallway,,1440,https://bucket.zammit.shop/active-storage/oejmelkmvirrsgbhbc275pvbh7t3,,Shaggy-Biege-Kilim-Hallway,,80 * 200 Cm|80 * 300 Cm|80 * 400 Cm|80 * 500 Cm|80 * 600 Cm,1440|2160|2880|3600|4320
Shaggy Biege Kilim Rug 1,,1440,https://bucket.zammit.shop/active-storage/p4g8c52vdw90656q2xvlnt7n77ur,,Shaggy-Biege-Kilim-Rug-1,,200 * 80 Cm|300 * 80 Cm|400 * 80 Cm|500 * 80 Cm|600 * 80 Cm,1440|2340|3120|3900|4680
Shaggy Black Bath Mat,,699,https://bucket.zammit.shop/active-storage/gwoltj8wlm0dqp2ndms9tk72kxgu,https://bucket.zammit.shop/active-storage/q0a9145u01c2ssm5jb22fevcna7v,Shaggy-Black-Bath-Mat-,,90 * 60 Cm|140 * 50 Cm|100 * 80 Cm|130 * 100 Cm,699|892|1020|1657
Shaggy Mustard Kilim Rug,,648,https://bucket.zammit.shop/active-storage/ncnq0ivhigrknu8mz1a3e618ynag,,Shaggy-Mustard-Kilim-Rug,,90 * 60 Cm|0.7 * 1.5 Cm|1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 2.5 M|2 * 3 M|3 * 4 M,648|1181|1575|3150|4641|5250|6300|12600
Shamsy Cushion,,0,https://bucket.zammit.shop/active-storage/2xur4a2st9uum4yn1l8iolfgij75,,Shamsy-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,0|0|0|0|0|0
Sini Mont Blue Kilim Rug,,0,https://bucket.zammit.shop/active-storage/htq25qd2abv5ltldzxd02teoxy78,https://bucket.zammit.shop/active-storage/intxg7sg4klrnb7duzq5130dpa0b,Sini-Mont-Blue-Kilim-Rug,,1 * 1.5 M|1.5 * 2 M|1.7 * 2.6 M|2 * 3 M|3 * 4 M,0|0|0|0|0
Snake Cushion,,675,https://bucket.zammit.shop/active-storage/ofhs0prj0h027xaa6ggatub2o3pf,https://bucket.zammit.shop/active-storage/vijytlxi207l8ggcyv4tqgf0f40u,Snake-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm with Insert|40 * 70 Cm Cover Only|40 * 70 Cm with Insert|70 * 70 Cm Cover Only|70 * 70 Cm with Insert,675|712|750|787|1012|1050
Solar Dunes Cushion,,0,https://bucket.zammit.shop/active-storage/7dqhfcg9kvoba71mug4nz4xkc81j,https://bucket.zammit.shop/active-storage/zwf5dhx1qqccgc1ht5lj508qjnvt,Solar-Dunes-Cushion,,40 * 40 Cm With Insert|40 * 40 Cm Cover Only|40 * 70 Cm With Insert|40 * 70 Cm Cover Only|70 * 70 Cm With Insert|70 * 70 Cm Cover Only,0|0|0|0|0|0
Stroke Cushion,,675,https://bucket.zammit.shop/active-storage/jwf0h1cvibpx2zv123143mf9900x,https://bucket.zammit.shop/active-storage/mdhj62qes6jl5tpwqtmecnsgmk2u,Stroke-Cushion,,40 * 40 Cm Cover Only|40 * 40 Cm With Insert|40 * 70 Cm Cover Only|40 * 70 Cm With Insert|70 * 70 Cm Cover Only|70 * 70 Cm With Insert,675|712|750|787|1012|1050
